pdb_id,num_chains,chain_names,total_amino_acids,structure_type,expdta,num_models
1a17,1,A,159,single,X-RAY DIFFRACTION,1
1a27,1,A,285,single,X-RAY DIFFRACTION,1
1a28,2,"A,B",500,single,X-RAY DIFFRACTION,1
1a4v,1,A,123,single,X-RAY DIFFRACTION,1
1a4y,4,"A,B,D,E",1166,single,X-RAY DIFFRACTION,1
1a5e,1,A,156,NMR,SOLUTION NMR,18
1a5r,1,A,103,NMR,SOLUTION NMR,10
1a66,1,A,178,NMR,SOLUTION NMR,18
1a6q,1,A,363,single,X-RAY DIFFRACTION,1
1a6y,2,"A,B",160,single,X-RAY DIFFRACTION,1
1a6z,4,"A,B,C,D",742,single,X-RAY DIFFRACTION,1
1a81,12,"A,B,C,D,E,F,G,H,I,J,K,L",1518,single,X-RAY DIFFRACTION,1
1a9n,4,"A,B,C,D",523,single,X-RAY DIFFRACTION,1
1a9w,4,"A,C,E,F",572,single,X-RAY DIFFRACTION,1
1aa2,1,A,108,single,X-RAY DIFFRACTION,1
1aa9,1,A,171,NMR,SOLUTION NMR,1
1ab2,1,A,109,NMR,SOLUTION NMR,20
1adx,1,A,40,NMR,SOLUTION NMR,14
1adz,1,A,71,NMR,SOLUTION NMR,30
1afo,2,"A,B",80,NMR,SOLUTION NMR,20
1ags,2,"A,B",442,single,X-RAY DIFFRACTION,1
1ah1,1,A,128,NMR,SOLUTION NMR,20
1ai0,12,"A,B,C,D,E,F,G,H,I,J,K,L",306,NMR,SOLUTION NMR,10
1ain,1,A,314,single,X-RAY DIFFRACTION,1
1aje,1,A,194,NMR,SOLUTION NMR,20
1akj,5,"A,B,C,D,E",611,single,X-RAY DIFFRACTION,1
1ald,1,A,363,single,X-RAY DIFFRACTION,1
1aly,1,A,146,single,X-RAY DIFFRACTION,1
1am4,6,"A,B,C,D,E,F",1119,single,X-RAY DIFFRACTION,1
1am9,4,"A,B,C,D",313,single,X-RAY DIFFRACTION,1
1aml,1,A,40,NMR,SOLUTION NMR,20
1an4,2,"A,B",130,single,X-RAY DIFFRACTION,1
1anw,2,"A,B",638,single,X-RAY DIFFRACTION,1
1aot,2,"F,P",116,NMR,SOLUTION NMR,1
1aox,2,"A,B",402,single,X-RAY DIFFRACTION,1
1ap4,1,A,89,NMR,SOLUTION NMR,40
1aqc,4,"A,B,C,D",256,single,X-RAY DIFFRACTION,1
1ark,1,A,60,NMR,SOLUTION NMR,15
1atu,1,A,374,single,X-RAY DIFFRACTION,1
1au1,2,"A,B",329,single,X-RAY DIFFRACTION,1
1aui,2,"A,B",543,single,X-RAY DIFFRACTION,1
1av1,4,"A,B,C,D",804,single,X-RAY DIFFRACTION,1
1awe,1,A,130,NMR,SOLUTION NMR,20
1aww,1,A,67,NMR,SOLUTION NMR,42
1axn,1,A,323,single,X-RAY DIFFRACTION,1
1b09,5,"A,B,C,D,E",1030,single,X-RAY DIFFRACTION,1
1b22,1,A,70,NMR,SOLUTION NMR,30
1b3o,2,"A,B",721,single,X-RAY DIFFRACTION,1
1b3u,2,"A,B",1176,single,X-RAY DIFFRACTION,1
1b4f,8,"A,B,C,D,E,F,G,H",599,single,X-RAY DIFFRACTION,1
1b4r,1,A,80,NMR,SOLUTION NMR,20
1b50,2,"A,B",138,NMR,SOLUTION NMR,10
1b64,1,A,91,NMR,SOLUTION NMR,20
1b6u,1,A,199,single,X-RAY DIFFRACTION,1
1b72,2,"A,B",141,single,X-RAY DIFFRACTION,1
1b8m,2,"A,B",224,single,X-RAY DIFFRACTION,1
1b9e,4,"A,B,C,D",102,single,X-RAY DIFFRACTION,1
1ba4,1,A,40,NMR,SOLUTION NMR,10
1ba6,1,A,39,NMR,SOLUTION NMR,10
1bak,1,A,119,NMR,SOLUTION NMR,20
1bbn,1,A,133,NMR,SOLUTION NMR,1
1bbo,1,A,56,NMR,SOLUTION NMR,60
1bby,1,A,69,NMR,SOLUTION NMR,1
1bc9,1,A,200,NMR,SOLUTION NMR,1
1bd8,1,A,156,single,X-RAY DIFFRACTION,1
1bda,2,"A,B",480,single,X-RAY DIFFRACTION,1
1bhi,1,A,38,NMR,SOLUTION NMR,20
1bht,2,"A,B",350,single,X-RAY DIFFRACTION,1
1bik,1,A,110,single,X-RAY DIFFRACTION,1
1bl1,1,A,31,NMR,SOLUTION NMR,1
1bla,1,A,155,NMR,SOLUTION NMR,1
1blr,1,A,137,NMR,SOLUTION NMR,22
1blx,2,"A,B",465,single,X-RAY DIFFRACTION,1
1bm6,1,A,173,NMR,SOLUTION NMR,20
1bmo,2,"A,B",466,single,X-RAY DIFFRACTION,1
1bnl,4,"A,B,C,D",712,single,X-RAY DIFFRACTION,1
1bnx,1,A,33,NMR,SOLUTION NMR,21
1bo0,1,A,76,NMR,SOLUTION NMR,1
1bo1,2,"A,B",644,single,X-RAY DIFFRACTION,1
1boe,1,A,46,NMR,SOLUTION NMR,20
1bor,1,A,56,NMR,SOLUTION NMR,1
1boy,1,A,211,single,X-RAY DIFFRACTION,1
1bp3,2,"A,B",383,single,X-RAY DIFFRACTION,1
1bpx,1,A,331,single,X-RAY DIFFRACTION,1
1bqq,2,"M,T",358,single,X-RAY DIFFRACTION,1
1bqt,1,A,70,NMR,SOLUTION NMR,6
1btk,2,"A,B",329,single,X-RAY DIFFRACTION,1
1bu9,1,A,168,NMR,SOLUTION NMR,21
1buo,1,A,121,single,X-RAY DIFFRACTION,1
1buy,1,A,166,NMR,SOLUTION NMR,1
1bv8,1,A,138,NMR,SOLUTION NMR,1
1bwx,1,A,39,NMR,SOLUTION NMR,10
1bxl,2,"A,B",197,NMR,SOLUTION NMR,1
1by1,1,A,209,NMR,SOLUTION NMR,20
1by6,1,A,36,NMR,SOLUTION NMR,19
1bz4,1,A,144,single,X-RAY DIFFRACTION,1
1bzd,2,"A,B",254,single,X-RAY DIFFRACTION,1
1bzk,1,A,42,NMR,SOLUTION NMR,21
1bzy,4,"A,B,C,D",856,single,X-RAY DIFFRACTION,1
1c07,1,A,95,NMR,SOLUTION NMR,20
1c15,1,A,97,NMR,SOLUTION NMR,16
1c1y,2,"A,B",244,single,X-RAY DIFFRACTION,1
1c1z,1,A,326,single,X-RAY DIFFRACTION,1
1c4z,4,"A,B,C,D",1194,single,X-RAY DIFFRACTION,1
1c7d,3,"A,B,D",576,single,X-RAY DIFFRACTION,1
1c7u,2,"A,B",148,NMR,SOLUTION NMR,1
